ID,Text,Highlights,Tag
15,"Не обращайтесь, ищите другую фирму! Сервис отстой просто. Идут на контакт ровно до того момента, пока вы им счет не оплатите, потом невозможно ни дозвониться ни записаться, две недели не могли забрать флешку, просто злость берет, никто ничего не знает, друг к другу перенаправляют. В офис пришли, там пусто, один человек сидит, видимо на столько все плохо.","отстой , невозможно ни дозвониться ни записаться, злость берет, никто ничего не знает, все плохо",Агрессивный
16,"Ужасный сервис!!!!!! Многократно подводили. За неделю до окончания подписки начинают названивать на все возможные номера. Вежливо отвечаешь, продлевать пока не хочу. Нужно будет , сам позвоню. А сотрудники этого сервиса все равно как дятлы долбят и долбят. Не берёшь телефон? Просто почту закидают счётами на оплату. И так в течении нескольких недель. Сотрудники не знают слово НЕТ. И так из года в год. Вспоминаю случай, позвонил попросил счёт. Выслали. Оплатил. Позвонил им и сказал что именно сегодня мне нужен сервис , чтобы с сегодняшнего дня он начал работать. Скинул платежку . Сервис не работает . Звоню в офис, менеджер убежал . Ничего никому не передал и убежал. Конкретного этого менеджера зовут Кристина Романович. Посколько до неё не дозвонился . Звоню в поддержку. Называю свой инн , подробно рассказываю ситуацию, прошу помочь. Ощущение что человек вообще не слышит что ему говорят. Конкретная тупка . Утверждает что оплата не поступила . Хотя менеджер Кристина сказала что достаточно скинуть платежку и сервис будет доступе .;так или иначе Через 20 минут после разговора говорит что оставил мод заявку с пометкой срочно, якобы мне перезвонят. Никто так и не перезвонил. Пишу им в чат. Тоже самое. Не компетентные менеджеры говорят что не видят оплату . Задаю вопрос . Тогда зачем я кидал платежку и зачем мой менеджер мне пообещала моментальный доступ . Сказала ничем помочь не может, нужно звонить своему менеджеру . Тогда зачем техподдержка если никто избтрез менеджеров помочь не может???? И что за безответственный менеджер мне выставляет счет?!!! Не рекомендую . Потратитесь деньги нервы . Нервы жалко больше .","Ужасный сервис, !!!!!! , Многократно подводили, названивать , как дятлы долбят и долбят, закидают ,  не знают слово НЕТ, Конкретная тупка, Потратитесь деньги нервы, Нервы жалко",Агрессивный
17,"Боже, это какой-то кошмар. В связи с тем, что наше любимое государство обязало сдавать некоторую отчетность только через операторов ЭДО начали искать подходящего оператора. Кинули заявки в несколько сервисов, Такском среагировал быстрее всех, а так как предпочтений особо не было, то взяли их. Какая же это была ошибка... У сервиса просто какое-то неадекватное количество минусов:
1. Ужасный, лагающий и сырой софт. Представьте, вы заполняете РСВ на 25 сотрудников, проставляете все ручками, а потом нажимаете сохранить, а оно не сохраняется... И куда бы вы не тыкали ничего не заработает просто потому что. Перезагружай страницу и заполняй заново. Не говоря уже о том, что он может рандомно дать ошибку и не сохранить ваши изменения. Я сегодня заполнял ЕФС-1 и у меня он вылетел 12 раз за полчаса. ммммм, вкуснятина. Бывает, что он не может расшифровать квитанцию о приеме декларации. Она висит, висит, а кнопки - ""перезагрузить расшифровку"" не завезли, так что для меня загадка приняла ФНС мою декларацию или нет. Ну, через пару месяцев узнаю(). В одном кабинете у меня тупо не давали добавить отчетность в ФНС, как говорится - отчитывайся только в Росстат.
2. Отсутствие нормальных функций, которые должны быть по дефолту. Например, он не умеет нормально подгружать нарастающий итог. Берешь ты РСВ, вводишь цифры за последний квартал, а за предпоследний он не видит, у него лапки - иди и вручную считай на калькуляторе. Также в РСВ по какой-то причине нельзя выгрузить инфу с персонифицированных сведений о физ. лицах за предыдущие месяцы. Протокол проверки это вообще отдельный кошмар. Когда пишешь -""Проверить декларацию"", тебя выкидывает из декларации и выдает протокол проверки, который объясняет все на уровне бобер не равен ослу, умножьте все на факториал. Причем проверка жестко тупит на копейках и выдает тебе предупреждение каждый раз разное. То у него 65,345 это 65,35, то 65,34. И ты бегаешь и как дурак равняешь по 0,1 копейке. О подсказках при заполнении деклараций вроде - тут обратите внимание на это, это и это - я вообще молчу. Их максимум это периоды по НДФЛ подсказать.

Да, тех. поддержка работает и исправляет проблемы оперативно. Но даже общение с тех. поддержкой это тот еще фокус. надо дать им доступ к своему столу, они полчаса будут скринить одну ошибку, пытаясь ее решить потыкиванием и только потом напишут запрос прогерам.

Короче в сто раз хуже сервиса налогоплательщик-юридическое лицо.","кошмар, это была ошибка, Ужасный, лагающий, сырой софт, вылетел 12 раз за полчаса, Отсутствие нормальных функций, у него лапки, отдельный кошмар, как дурак, я вообще молчу, в сто раз хуже",Агрессивный
18,"Переход с 1с ни кому не рекомендую, если вам попадется тех специалист как нам в Волгоградской области под номером 2266 Евгений куев специалист, то номенклатуру товара всю положил и перепутал с соседними отделами продаж нашей компании. Номенклатуру перепутал, резервную копию для отката не сделал, отмазывался и валил все на других привозникновении проблем. Просто работу торговых точек парализовал полностью. Не рекомендую в связи с некомпетенцией сотрудников","куев специалист, перепутал , не сделал, отмазывался , парализовал полностью, валил , некомпетенцией сотрудников",Агрессивный
19,"Являемся клиентами данной платформы уже много лет.
Могу отметить отвратительность и неудобство самой платформы. Хуже только техподдержка этой платформы.
В среднем продолжительность ожидания помощи и решения вопроса занимает 40 минут телефонного разговора.
А в чате можно ожидать ответа часами.
И, новая опция СБИСа - платная помощь в решении технических вопросов!
Могу сравнить качество работы и техподдержки КОНТУРА и СБИСа.....
Контур решает ве вопросы в течение 5 минут.
А СБИС не решит за 5 часов....","отвратительность , неудобство , Хуже только,можно ожидать ответа часами.",Агрессивный
20,"Saby Report (СБИС) - Отчетность через интернет - Просто полная туфта
Достоинства: Нет
Недостатки: Глючит, плохо, не советую
Уважаемый, но не мною Сбис. Уважаемые поддержка, отдел разработки, сколько это будет продолжаться издевательство над клиентами. Приложение сбис бизнес опять паказывает целые цифры. 4,5, 6. Сколько будет это продолжаться, я хочу видеть полную выручку а не обрубки. Зачем приложение это для офд, которое работает через. На минуточку, ваше офд самое дорогое на рынке. Ваши программисты, разработчики совсем не работают или не хотят. Раньше было удобно, работало, сейчас это одно недоразумение программа Сбис.","туфта, Глючит, издевательство , работает через, это одно недоразумение",Агрессивный
21,"Неудобно, неактуально, грубо, обманно
Не ведитесь на ""выгодность"", заплатите в разы больше. Сайт никакой, формы грузятся долго и очень тяжело. Справка не актуальна, вас отправят в ПФР по месту жительства, где вы узнаете, что эти справки отменили с 21го года. Техподдержка скажет на это ""ну ошибка же не возникла, чего не попробовали кривой отчет отправить"". Множество моментов, где сайт пишет ""не заполнено поле"", а по факту оно заполнено, техподдержка скажет ""ну так работает сайт"" и чтобы получить такой ответ вы прождете от 30 минут до 6 часов! Измываются как могут. Менеджер при этом говорит, что он не менеджер, а только услугу мне продал и предлагает написать ""другому сотруднику"" - даже не комуто конкретно, а отправляет самому поискать. И да, имейте ввиду, несмотря на все обещания, если вам чтото не понравится - деньги вам не вернут!","Неудобно, неактуально, грубо, обманно, Не ведитесь, Сайт никакой, грузятся долго, очень тяжело, Измываются как могут",Агрессивный
22,"К примеру, изучение деятельности калифорнийских автомехаников показало, что часто они не выставляют клиентам счета за не слишком значительные работы по подготовке машин к прохождению экологического контроля. Великодушные механики с лихвой компенсируют свои затраты за счет обращения клиента к ним по другим вопросам. Однако в других случаях стимулы экспертов могут играть против вас. Так, в ходе одного исследования деятельности докторов выяснилось, что акушеры в регионах со снижающейся рождаемостью предпочитают производить кесарево сечение значительно чаще, чем акушеры в регионах с растущим населением. Это наводит на мысль о том, что доктора, находящиеся в сравнительно более стесненных обстоятельствах, склонны рекомендовать пациентам более дорогостоящие процедуры. Но одно дело – предполагать наличие злоупотреблений со стороны специалистов, а другое – доказать это. Лучший способ доказательства в подобных ситуациях – сравнение того, как профессионал делает что-то в ваших интересах, с тем, как он делает ту же самую работу для самого себя. К сожалению, хирург не делает операций самому себе. История его болезней не является достоянием гласности; точно так же мы не знаем, что именно делает автомеханик с собственной машиной",нет выраженных эмоций,Нейтральный
23,"Риелторы иногда продают и свои собственные дома. Довольно свежий набор данных по продаже почти 100 тысяч домов в пригородах Чикаго позволяет увидеть, что более трех тысяч домов принадлежали самим риелторам. Перед тем как погрузиться в изучение данных, имеет смысл задать себе вопрос: в чем состоят стимулы риелтора, продающего свой собственный дом? Ответ прост: он хочет заключить сделку на самых выгодных для себя условиях. Можно предположить, что этот же стимул есть и у вас, когда вы продаете свой дом. То есть в данном случае ваш стимул и стимул риелтора идеально сочетаются между собой. В конце концов, его комиссия зависит от цены продажи.",нет выраженных эмоций,Нейтральный
24,"Поэтому при продаже вашего дома ценой 300 тысяч долларов его личная комиссия составит не 18 тысяч, а всего четыре с половиной тысячи долларов. Вы можете сказать, что и это неплохо. Но что, если ваш дом в действительности стоит больше, чем 300 тысяч долларов? Что, если при должном усилии, терпении и публикации еще нескольких объявлений в газетах риелтор мог бы продать ваш дом за 310 тысяч долларов? После уплаты комиссионных это бы добавило в ваш карман еще 9400 долларов. Однако ваш агент получит лишь жалкие 150 долларов – полтора процента от дополнительных десяти тысяч долларов. Если вы зарабатываете на сделке 9400 долларов, а ваш агент – всего 150, то, пожалуй, ваши стимулы не являются сбалансированными (в особенности когда именно риелтор платит за рекламные объявления и делает всю работу). Готов ли риелтор потратить дополнительное время, деньги и энергию за 150 долларов?",нет выраженных эмоций,Нейтральный
25,"Есть только один способ выяснить это: измерить разницу между данными по продажам домов, принадлежащих самим риелторам, и продажам домов, которые они производят по поручению клиентов. Используя данные о продаже 100 тысяч чикагских домов и принимая во внимание различные переменные – расположение, возраст и состояние дома, его эстетические качества и т. д., можно определить, что риелтор обычно продает свой собственный дом на десять дней дольше, а цена продажи оказывается в среднем на три процента выше (то есть разница составляет от десяти тысяч долларов при продаже дома ценой в 300 тысяч). При продаже собственного дома риелтор выжидает лучшего предложения; при продаже вашего он ухватывается за первое же достойное предложение, которое появляется в поле его зрения. Подобно фондовому брокеру, риелтор стремится получить свои комиссионные максимально быстро и зарабатывать деньги за счет заключения большого количества сделок. Почему бы и нет? В более дорогостоящей сделке увеличение его доли составляет всего 150 долларов, и у него нет стимула долго бороться за такую цену.",нет выраженных эмоций,Нейтральный
26,"Из всех трюизмов о политике один кажется нам чуть более правдивым, чем все остальные: деньги покупают голоса. Арнольд Шварценеггер, Майкл Блумберг, Джон Корзин – это лишь несколько недавних примеров работы этого трюизма на практике (давайте на минуту оставим в стороне примеры обратного, показанные Говардом Дином, Стивом Форбсом, Майклом Хаффингтоном и в особенности Томасом Голисано, который трижды баллотировался на пост губернатора штата Нью-Йорк, потратил на избирательные кампании 93 миллиона собственных средств и получил соответственно по четыре, восемь и четырнадцать процентов голосов). Большинство людей согласится с тем, что деньги, несомненно, способны повлиять на исход выборов, и с тем, что на политические кампании расходуется слишком много средств.",нет выраженных эмоций,Нейтральный
27,"Никому не советую покупать сбис бухгалтерию, пытался перейти с аналогичного сервиса, так как привлекла цена, по итогу вернулся обратно.
1) На этапе покупки впарили обучение как пользоваться сбисом, по факту - подключился оператор, установил плагин и говорит вся информация есть в справке, читай))) Сказали в начале цену 6000, но счет выставили на 6500. ОК.
2) Как только начал настраивать - при добавлении сотрудников словил пару багов при начислении зарплаты, сам их заметил и с поддержкой вроде как их исправили.
3) У меня УСН + Патент. Так вот, при загрузке выписок нельзя массово выбрать к какой системе учета относить выручку. Операторы сами этого не знали и дважды по 2-3 часа через удаленное подключение пытались мне это сделать методом тыка. В итоге у них ничего не вышло. Предложили в ручную открывать каждую операцию и редактировать. А их за полтора года у меня - миллиард)) Если у вас разные системы учета - сбис вам не подходит. Считать правильно налоги он вам не будет.
4) После всей этой истории - я пообщался с менеджером и предложил вернуть мне хотя бы часть денег, так как заявленного функционала в этой программе нет, налоги правильно разделить по разным системам учета она не может. В ручную редактировать все операции - не вариант.
На что получаю ответ - ""вы договор с нами уже подписали, никаких денег мы вам не вернем. Вы можете конечно написать нашим юристам, но они вам тоже напишут, что ничего не вернут.""
Если честно, никогда не писал никому негативные отзывы. Но в этой организации отвратительно все, от начала разговора с операторами до глючной бухгалтерии с совсем не юзабельным интерфейсом.
В итоге проплатил в 3 раза выше тариф у аналогичной фирмы и просто кайфанул, как все может быть просто.","Никому не советую, впарили, словил пару багов, методом тыка, не подходит, отвратительно все, глючной, совсем не юзабельным интерфейсом",Агрессивный
28,"Вот я, девушка(и в данной теме это хорошо)...и меня бесят радикальные феминистки, и вот почему:
1) Мне очень много раз встречались феминистки, и я должна сказать, что большинство из них довольно-таки глупые люди, у лица у них, мягко говоря, нездоровые. Когда они что-то доказывают, они становятся неадекватными.
2) Большинство из них, по моим меркам, весьма некрасивы, и это многое объясняет. В реальной жизни, я никогда не видела красивой феминистки.
3) Меня кучу раз обвиняли к ненависти к женскому полу, и называли мужской подстилкой...Только потому, что я смеюсь над ними, и терпеть их не могу. Иногда доходило до попыток рукоприкладства с их стороны.","бесят ,глупые, нездоровые, неадекватными, некрасивы, обвиняли, ненависти, терпеть их не могу, рукоприкладства ",Агрессивный
29,"Осторожно, обиженные мужчины объединяются в кучки. Официально это Движение за права мужчин, а неофициально - группа шовинистов и женоненавистников, несущая, так сказать, прекрасное в массы и открывающая глаза до поры спящим мужчинам -""аленям"". 
Да, да, в лучших традициях тоталитарных сект, у последователей движения есть свой новояз, понятный только участникам. Ну и поднимающий им ЧСВ (чувство собственной важности) за счет унижения других. Это, как известно, самый простой способ возвыситься.
Тут много чего интересного. И приравнивание феминизма чуть ли не к экстремизму, и отмена единоличного решения женщины на аборт, и отмена материнского капитала для матерей-одиночек. Ну и законодательная отмена алиментов, конечно же.
Хотя официально МД не является женоненавистническим, все же им очень трудно удержаться от негативных эпитетов, когда речь заходит о женщинах. Последние, по мнению этого благородного мужского собрания, не разговаривают, а исключительно вопят, визжат и шипят. То есть женщины подаются в образе каких-то свиноподобных и змееподобных бестий.
А идейный гуру МД Олег Новосёлов даже ставит всех современных женщин в один ряд с фашистами. мой вывод таков.
Мужское Движение - это сборище обиженных, безответственных и ленивых мужчин. Ибо нормальный человек понимает, что для того, чтобы тебе не изменяла жена, ты должен быть если не лучшим мужчиной на Земле, но хотя бы лучшим в глазах этой конкретной женщины. Но это же нужно работать над собой и заботиться о ней! Это трудно.
Куда легче собираться в группки и ныть, что в законе нет статьи за женскую измену и что заключение брака с женщиной не дает гарантий от ее измен.","Осторожно, обиженные, женоненавистников, унижения , экстремизму, негативных ,  обиженных, безответственных, ленивых",Агрессивный
30,"МГТС!!!!Отвратительная компания.
Была 2 раза. Пыталась расторгнуть договор который моей маме вапарили!!!! Она платила за то, чем никто из нас не пользовался. Домашний телефон!!!!!Я узнала об этом только после её смерти. Через 5 месяцев когда счёт пришёл.
В офисе на Проспекте Вернадского д.21 к 3. Сотрудники просто хамы.
Антон ведущий специалист( отчество и фамилию) в хамской форме отказался назвать.
Вопрос с расторжение договора, по факту смерти мамы, удалось решить через службу поддержки просто по фотографии свидетельства о смерти.
Платить ничего не буду!
Оборудование сдавать больше не пойду, хватило хамства за 2 посещение. И время жалко, по часу там сидишь.
Не заключается договоров с этими машейниками!!!!
Моя оценка этой компании -10минус!!!!!","!!!!, Отвратительная , хамы, в хамской форме, отказался , хватило хамства, время жалко",Агрессивный
31,"Большой стеклянный ящик, этакий аквариум – точнее, целая комната.
В ней стоял стол. Длинный стол. Вокруг него – около дюжины стульев. Венских. Стол был покрыт скатертью – неказистой скатертью в красную и белую клетку, на которой кое-где зияли прожженные дыры – положение всякой из них, по-видимому, имело глубокий математический смысл.
А на скатерти пребывало с полдюжины тарелок с недоеденными итальянскими кушаньями. Им составляли компанию недоеденные ломти хлеба и недопитые бокалы вина. Всеми этими причиндалами вяло манипулировали роботы.
Все это было искусственным. Робот-официант, робот-буфетчик и робот-метрдотель обслуживали роботов-клиентов. Искусственная мебель, искусственная скатерть. И каждая частичка еды была, по-видимому, наделена всеми механическими свойствами, например, «цыпленка-алла-романа», на деле им не будучи.
И все двигалось, приплясывало, трепыхалось. Этакий замысловатый балет меню, счетов, бумажников, чековых книжек, кредитных карточек, часов, карандашей и бумажных салфеток. Последние все время так и рвались в полет, но почему-то все же оставались на месте.",нет выраженных эмоций,Нейтральный
32,"Слартибартфаст быстрым шагом вошел в «аквариум» и, судя по всему, затеял какой-то пустой разговор с метрдотелем, а один из роботов-клиентов, авторазмякающая модель, меж тем тихо сполз под стол, не переставая рассказывать, что именно собирается сделать с неким типом из-за некой девушки.
Слартибартфаст занял освободившееся благодаря этому происшествию место и окинул суровым взглядом меню.
Темп застольных манипуляций неуловимо ускорился. Вспыхнули споры, посетители кинулись рисовать на салфетках иллюстрации своей правоты. Они дико жестикулировали и пытались сравнивать свои порции курятины с чужими. Рука официанта заскользила по листкам блокнота с недостижимым для человека проворством, а затем еще быстрее, так что в глазах зарябило. Темп все возрастал. Вскоре всех собравшихся обуяла необыкновенная, настоятельная вежливость. Не прошло и нескольких секунд, как внезапно было достигнуто согласие. Новая вибрация сотрясла корабль.",нет выраженных эмоций,Нейтральный
33,"Музыку оно, конечно, ищет и качество композиций нормальное, но есть два ""но"" из-за которых вы не захотите с этими ребятами связываться. Во первых, у сервиса нет никакой информацинно-абонентской службы и это отсутствие, по моему, не случайно так как при обращении письмами вас благополучно отфутболивает робот. Решить вопрос невозможно. Во вторых, жадность данного сервиса до чужих денег бесстыдно очевидна. Не дай вам бог привязать свою карту к данному сервису. Мне пришлось перевыпустить банковскую карту, так как когда я отписался от сервиса (по всем правилам) они ещё три месяца с меня снимали абонентскую плату. А при обращении к сервису вас отфутболивает робот, о котором я уже писал. Данный сервис создан и функционирует в ""лучших российских традициях"" - нагрей лоха","но есть два ""но"",  не захотите с этими ребятами связываться, Не дай вам бог, решить вопрос невозможно, жадность данного сервиса, отфутболивает робот, нагрей лоха",Негативный
34,"Приложением Яндекс. Музыка пользуюсь месяца четыре. Довольна как слон! В нем можно подобрать песни, музыку по душе. Хорошего звучания. Создать свою коллекцию. Любимая музыка теперь не занимает места на телефоне, а хранится в этом приложении. На основе моих предпочтений предлагается плейлист дня. То есть подборка композиций, которые могут меня заинтересовать. Каждый день новое.  Классно, что можно найти песню или музыку методом напева или проигрывания на др телефоне или др. Приложение не на все 100, но в большинстве находит ее. Иногда, подметила, что спустя какое-то время находит, если пропеть по-новой. Видимо база пополняется регулярно.","довольна как слон, Классно, Хорошего, не на все 100, но",Позитивный
35,"Также вся музыка разбита по жанрам, очень удобно искать. Есть хорошие подборки, в том числе собранные на основе предпочтения пользователя. Качество треков хорошее. Приложение очень простое и интуитивно понятное. Но платное. Хотя, если хорошенько поискать в интернете, то и бесплатно можно найти. Если оценивать по пятибалльной шкале- на четверочку. В целом неплохое. Советую","очень удобно , хорошие , очень простое , понятное , неплохое",Позитивный
36,"То что надо, сегодня с обеда привезли домой , зарядили и пошел работать, собирает вообще все, барьеры проходит вообще огонь, я доволен, не привычно , что не надо со шваброй,  Рекомендую и надеюсь отслужит","То что надо, вообще огонь, я доволен , Рекомендую",Позитивный
37,"Это — позор. Абсолютная халтура, не имеющая права называться продуктом. Вы всерьёз решили, что такое можно продавать людям? Видимо, вы забыли, что клиенты — это не мусорные баки для вашего некачественного хлама. Сервис — ноль. Уровень исполнения — ниже плинтуса. Впервые жалею о потраченных деньгах настолько сильно, что мне хочется разослать предупреждение всем — не подходите даже близко. Катастрофа, а не товар. Хочется вернуть не только деньги, но и потраченное время, нервы и веру в здравый смысл!»","позор , не имеющая  права,  Видимо, вы забыли, не мусорные баки, для вашего некачественного хлама,  Сервис — ноль , ниже плинтуса , Впервые жалею , разослать предупреждение всем, не подходите даже близко, Катастрофа , Хочется вернуть , потраченное время",Агрессивный
